cmnt,sentiment_scores,Compound,Sentiment,cleaned_comment
My mother and my grandmother too were corona positive we stayed cautiously I worked day and night and ensured that nobody else around us gets infected I disinfected the surfaces and the air in my house thrice a day We kept them on the first floor and we ourselves stayed on the ground floor Until their quarantine was over we only used cell phones for video calls even in such a situation everybody else in our house stayed super healthy Now everything has got fine they both are healthy I am happy,"{'neg': 0.031, 'neu': 0.787, 'pos': 0.181, 'compound': 0.9349}",0.9349,Positive,Covid 19 is what it's called  when Shiva the Destroyer  let's one rip on the planet
Holy shit It feels so weird to watch this in  I know its only been  years but it felt like a decade time in a bottle man,"{'neg': 0.139, 'neu': 0.745, 'pos': 0.115, 'compound': 0.0847}",0.0847,Positive,last comment was months ago haha
im so glad my family survived this and it is no longer that serious,"{'neg': 0.174, 'neu': 0.498, 'pos': 0.328, 'compound': 0.624}",0.624,Positive,Just imagine the next generation learning about coronavirus as a subject in History 
Im apart of history,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Pura Hindustan dhoomne de to corona bhag jayega
 kids be watching this for a school project,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Corona se bachne ke liye aap sab ghar mein dhoomneda
Remember watching the old ones thinking Wow Im lucky to never crash these virus I spoke too soon,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.8342}",0.8342,Positive,If u r watching this in future congratulations u have successfully defeated coronavirus
My whole family got this virus before not including me i had to stay in a singular bed away from them and i couldnt touch them for a lot of days But day after day they got better and got their vaccines And Im relieved or happy that everyone is still alive,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.9493}",0.9493,Positive,China Virus
"my grandma had lung cancer and covid I took care of her so much and brought food for her every night and day after  days she thankfully survived covid but shortly after her cancer got so bad she had to stay in hospital for months and shortly after she passed on
I still remember checking on her every day in the hospital and I remember going to her funeral She survived over  years with cancer I miss her so much God bless her ","{'neg': 0.229, 'neu': 0.609, 'pos': 0.161, 'compound': -0.8879}",-0.8879,Negative,Thank for the info Corona means Crown and in my language Corona bengaliit means dont do Therefore the result has come to dont do workdie a few of us will enjoy with lock down What a disease spread that no one knows what is the combination in it Thanks for the detailed information Dr
omg this is history now,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,verg nice amzing u taught
Wow I am  and this is   years ago my mother had Covid as well as my sister We took all the cautions necessary and did what we were told me and my brother just playing video games I nor my brother got or has covid And hopefully never will I mean its just a strand now,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.8555}",0.8555,Positive,If someone is viewing this video now then they have problems
I still do the elbow sneeze thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Boring in the house
